,＿隊,人物,字幕組
1,一隊,高筱貝、侯筱樓,AugustVII·高筱貝侯筱樓雙人站
2,一隊,郎昊辰,郎昊辰的字幕組
3,二隊,李九春,萬象歸春字幕組
4,二隊,謝金、李鶴東,攪動風雲字幕組
5,二隊,謝金、李鶴東,那兒有話筒字幕組
6,二隊,李九春,李九春絕不認輸字幕組
7,三隊,三隊,三生有幸字幕組
8,四隊,閻鶴祥,閻鶴祥書館小分隊
9,四隊,郭麒麟,一個人的字幕組
10,四隊,閻鶴祥,制木箸二代目
11,四隊,王霄頤、陳九品,頤品時光·字幕組
12,五隊,靳鶴嵐、朱鶴松,五十塊錢字幕組
13,五隊,燒餅、曹鶴陽,碎嘴子字幕組
14,五隊,張霄墨,遇見字幕組
15,五隊,靳鶴嵐、朱鶴松,要你命三千字幕組
16,六隊,六隊,天橋沒有橋字幕組
17,六隊,張九南、高九成,拖拉機字幕組
18,六隊,張宇航、常龍、于子淇、梅九亮,于生一淇走花路字幕組
19,六隊,張宇航、常龍,烤山藥字幕組
20,六隊,張鶴倫、閻鶴祥,一neinei字幕組
21,六隊,關九海、張霄白,嘎嘎甜醜橘經銷商字幕組
22,六隊,梅九亮,落雪聽梅字幕組
23,六隊,于子淇,拉杆箱字幕組
24,六隊,于子淇,淇淇怪怪字幕組
25,七隊,孟鶴堂、周九良,叫什麼不吃飯字幕組
26,七隊,秦霄賢、何九華,樓上樓下字幕組
27,七隊,尚九熙、何九華,尚慕年華字幕組
28,七隊,劉筱亭、張九泰,土豆販賣工廠字幕組
29,七隊,劉筱亭、張九泰,大千世界字幕組
30,七隊,秦霄賢、孫九香,巴紮嘿字幕組
31,七隊,周九良,一隻橘貓專屬字幕組
32,七隊,尚九熙,尚九熙不知名字幕組
33,七隊,尚九熙,給個樂聽字幕組
34,七隊,何九華,大殺四方字幕組
35,七隊,何九華,水木清華字幕組
36,七隊,何九華,灼灼其華字幕組
37,七隊,何九華,主公不喝奶茶字幕組
38,七隊,郭霄漢,金v永駐字幕組
39,七隊,孫九香,我會單口字幕組
40,七隊,吳志徉,頭冷睡不著字幕組
41,七隊,七隊,七七88捧角兒字幕組
42,七隊,尚九熙,老撫順小作坊
43,七隊,何九華,邪包袱字幕組
44,七隊,何九華,撩開頭簾兒說亮話字幕組
45,七隊,七隊,沒毛鐵字幕組
46,七隊,七隊,七七如律令字幕組
47,七隊,七隊,愛更不更字幕組
48,七隊,尚九熙、何九華,三笑堂字幕組
49,七隊,秦霄賢、孫九香,一驚一乍字幕組
50,七隊,孫九芳、郭霄漢,拆包裹字幕組
51,七隊,秦霄賢,秦上班不遲到-秦霄賢個站
52,八隊,張雲雷、楊九郎,楚琴影
53,八隊,張雲雷、楊九郎,瞎發揮字幕組
54,八隊,張雲雷、楊九郎,搞事情字幕組-DYS
55,八隊,張雲雷、楊九郎,平西王府字幕組
56,九隊,九隊,九玖歸壹字幕組
57,九隊,張九齡、王九龍,小貓與薩摩字幕組
58,九隊,張九齡、王九龍,淨這個字幕組
59,九隊,孫九芳,多見面吧字幕組
60,九隊,孫九芳,芳言芳語字幕組
61,九隊,張九齡、王九龍,不營業吧
62,九隊,樊霄堂、張博帥,甜到爆炸字幕組
63,全社,全社,其樂融融字幕組
64,全社,全社,說學逗唱字幕組
65,全社,全社,一張白紙字幕組
66,全社,全社,趕上了字幕組
67,全社,全社,隨緣字幕組
68,全社,全社,北極圈字幕組
69,全社,全社,德雲中學字幕組
70,全社,全社,鋼鐵是咋整的字幕組
71,全社,全社,德了個雲工作室
72,全社,全社,野生_字幕組
73,全社,全社,隨時跑路_字幕組
74,全社,全社,別笑不退票字幕組
75,全社,全社,好好活著字幕組
76,全社,全社,ZQSG字幕組
77,全社,全社,搶不到票字幕組
78,全社,秦霄賢、孫九香、張雲雷、楊九郎,鹹魚行程XC
79,全社,劉九思、王筱閣,我太愛相聲了字幕組
80,其他,金霏、陳曦,金霏曦比字幕組
